exp;Feature;GainMin;GainMean;GainMax
HT9323;mjf_mtarjeta_visa_consumo_orden;0,00494264526907631;0,116585316822147;0,304704938710099
HT9323;mjf_mtarjeta_master_consumo_orden;0,00813178799047469;0,11347610360046;0,239975091157658
HT9323;mjf_mtarjeta_visa_consumo-mcaja_ahorro;0,0473807654144303;0,105013750880819;0,144786541943358
HT9323;mjf_mcaja_ahorro_orden;0,054109978791793;0,0835443705641662;0,123251652383169
HT9323;ctrx_quarter_normalizado_ratioavg6;0,0148155653810795;0,0366627199989868;0,0533564113289555
HT9323;mcaja_ahorro;0,00458755884222039;0,0308541562103612;0,0462720698160608
HT9323;mjf_mpayroll2_orden;0,00900992638481473;0,0306036096309237;0,0431418599592164
HT9323;mjf_mdescubierto_preacordado_orden;0,00035081079483856;0,0279612918421162;0,0925804222898173
HT9323;mjf_mpayroll_orden;0,0153431807937806;0,0262817412113826;0,0498025706145882
HT9323;mv_Finiciomora;0,0145658121076947;0,022964312692259;0,0305890064945082
HT9323;ctrx_quarter_ratioavg6;0,00112667618185755;0,0210615279133154;0,0576170154452662
HT9323;mjf_mdescubierto_preacordado_orden_ratiomax6;0,00570063197489948;0,0139803280752726;0,0397835736579017
HT9323;mjf_mautoservicio_orden;0,000158744441706163;0,0136426479535205;0,0248032256099845
HT9323;mjf_mcuenta_debitos_automaticos_orden;0,00778993072398954;0,0120620585566469;0,0188515203927493
HT9323;ctarjeta_visa_trx_ratioavg6;0,000733161102719718;0,0120243856418165;0,0290104560942663
HT9323;ctrx_quarter_normalizado;0,00134728874495479;0,00970882178441928;0,0273575872284786
HT9323;mv_Finiciomora_lag1;0,00742473370618078;0,00952459982242774;0,0131952316750472
HT9323;ctarjeta_visa_trx;0,00337273910190321;0,00948918185866699;0,0198151916411244
HT9323;cproductos_ratioavg6;0,00222604057456336;0,00931066328242367;0,0139253639353919
HT9323;mjf_mpayroll_orden_ratioavg6;0,00545347490618958;0,00927994683046327;0,0155160783860943
HT9323;mjf_mv_mpagospesos_orden;0,00105349729350923;0,0087963668706456;0,0140166128012128
HT9323;mjf_mdescubierto_preacordado_orden_ratioavg6;5,29469084668739e-05;0,00836940104782832;0,0126213044305415
HT9323;mtarjeta_visa_consumo;0,00318840481463109;0,00836931249280398;0,0142298459834534
HT9323;ctrx_quarter_ratiomax6;8,30311198384548e-05;0,00698395841710555;0,0216195454953713
HT9323;mjf_cpayroll_trx-mcuenta_corriente;0,00152437261774703;0,00643259768264374;0,0107745394830627
HT9323;mv_status06_ratioavg6;0,000814992847567177;0,00620031108300406;0,0106466776764668
HT9323;mjf_mpayroll2_orden_ratioavg6;0,00257042940422875;0,00599828177704155;0,0100197136048901
HT9323;ctrx_quarter_normalizado_ratiomax6;1,327178098663e-06;0,00569136317657005;0,0117125797676165
HT9323;mv_status01;0,00161474081189379;0,00558936514832828;0,00922178961852297
HT9323;cproductos_delta2;1,220987071104e-06;0,00542936732282776;0,0147720287268436
