exp;Feature;GainMin;GainMean;GainMax
HT9321;mjf_mtarjeta_master_consumo_orden;0,0953110564266579;0,19272278280324;0,250403056300362
HT9321;mjf_coper_mes;0,0242793481814018;0,0914147089653404;0,167809315751095
HT9321;mjf_mpayroll2_orden;0,0261274998218093;0,0618271674412221;0,109139737606121
HT9321;mjf_mcaja_ahorro_orden;0,0189253821681019;0,057583240082574;0,0873567993208844
HT9321;ctrx_quarter_normalizado;0,00161410542639524;0,0531320238867237;0,126118563442651
HT9321;mjf_mtarjeta_visa_consumo_orden;0,00117325961661364;0,0474920199698672;0,144635955407563
HT9321;mjf_mpayroll_orden;0,00596089146809734;0,0247651467208132;0,0467239328769038
HT9321;mtarjeta_visa_consumo;0,000626396652607007;0,0237559739881193;0,0342005874137073
HT9321;mcaja_ahorro;0,00640571873730782;0,020277069738476;0,0412686756616832
HT9321;mjf_mcuenta_debitos_automaticos_orden;0,00596849959200648;0,0174552591616157;0,0428169313960018
HT9321;ctrx_quarter;0,00056715509963317;0,0158226127088067;0,0581862799701007
HT9321;mjf_mautoservicio_orden;0,0032359440836723;0,0140232288677677;0,0252553994154905
HT9321;mjf_mdescubierto_preacordado_orden_ratioavg6;0,00209534532428491;0,0137184675510596;0,0253576701387235
HT9321;mjf_mdescubierto_preacordado_orden;0,00212316769271813;0,0105018608538545;0,0220793170783662
HT9321;mv_status07_ratioavg6;0,00247526353830448;0,00879892631488972;0,0150587496132765
HT9321;mjf_mtarjeta_visa_consumo-mcaja_ahorro;7,85544747514827e-05;0,00809004101612438;0,018447157993062
HT9321;mjf_mdescubierto_preacordado_orden_ratiomax6;0,00281449783110384;0,00728956423589249;0,0176871283660503
HT9321;mv_status06_ratioavg6;8,56262643235036e-05;0,00688538167667639;0,0172959176501328
HT9321;mv_Finiciomora;0,00471454711434036;0,00680819449914517;0,00920616958752578
HT9321;mjf_mtarjeta_visa_consumo_orden_ratioavg6;0,0019377480144146;0,0059142849611926;0,012172359757489
HT9321;cproductos_ratioavg6;0,000250554519078812;0,00579792300828491;0,0111464789849651
HT9321;mjf_mcuentas_saldo_orden;0,000358553361337119;0,00573529912874166;0,0124513221310195
HT9321;mjf_mtarjeta_visa_consumo-cpayroll_trx;0,000988752879066856;0,00537165526756667;0,00973491641874129
HT9321;mv_status07_tend6;1,02860443471236e-05;0,00520860387076221;0,0253514626046707
HT9321;mjf_mpayroll2_orden_delta6;0,000183749559903495;0,00473668782059054;0,0194234430598616
HT9321;mjf_mpayroll_orden_delta6;7,58958679213744e-05;0,00463642571492251;0,0206062156624041
HT9321;mtarjeta_visa_consumo_ratioavg6;0,000114556211556021;0,00462450170862933;0,0118716088437862
HT9321;mcuentas_saldo;0,000630353973138044;0,00436352472051687;0,0088921676186021
HT9321;mjf_mjf_coper_mes-mcaja_ahorro;0,000236139386439853;0,00430567100270776;0,0135236346693712
HT9321;cpayroll_trx;0,000802242944721631;0,00388878149732375;0,010830320545261
