fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 095646	-0.0488067728988901	4035	2000	3	5	8532000	47
20220408 093650	-0.850229426703299	5875	1801	3	5	8523000	7
20220408 095947	-0.37881396814877	3062	1531	3	5	8496000	53
20220408 094832	-0.306544168711727	8000	598	6	5	8215000	31
20220408 095538	-0.999608663266827	7983	1994	17	5	8215000	44
20220408 101248	-0.560797328596516	7987	336	12	5	8142000	77
20220408 094335	-0.681436677510188	281	139	16	5	7889000	21
20220408 101429	-0.643210174717874	155	71	13	5	6984000	80
20220408 095023	-0.999657984872276	14	2	20	5	5071000	34
20220408 100237	-0.34742200037839	45	11	15	5	5066000	58
20220408 095851	-0.192107757868161	12	4	19	5	4646000	50
20220408 101117	-0.446859859012741	13	6	19	5	4317000	74
20220408 093706	0.0614296848099913	5428	206	11	5	0	8
20220408 095911	0.0146243470567939	7999	1484	20	5	0	51
20220408 100901	0.0762436198987941	654	319	20	5	0	70
