Feature	Gain	Cover	Frequency
ctrx_quarter	0.279869515726187	0.266534236236356	0.0460869565217391
mpasivos_margen	0.0467984546490087	0.050360386892583	0.0350724637681159
mcaja_ahorro	0.0356036106470464	0.0157148382470243	0.0260869565217391
mprestamos_personales	0.0349559191145861	0.0272864774336174	0.0455072463768116
mtarjeta_visa_consumo	0.0346864713609254	0.0747473592983055	0.0281159420289855
cpayroll_trx	0.032609847059906	0.177632354817458	0.0344927536231884
mpayroll	0.0305873605506945	0.112112267969821	0.0272463768115942
Master_fechaalta	0.0302057115950726	0.0138379850167905	0.0342028985507246
numero_de_cliente	0.0259277368941974	0.00161622260986015	0.0231884057971015
mcuentas_saldo	0.0244229392544275	0.0170612003123692	0.0318840579710145
mrentabilidad_annual	0.0218196652093128	0.00806453998109072	0.0327536231884058
mrentabilidad	0.0211689630080066	0.00707353849420604	0.0246376811594203
mactivos_margen	0.019791011276067	0.0301196561926349	0.0330434782608696
cliente_antiguedad	0.0182016220731192	0.00432755957100129	0.0252173913043478
Visa_msaldototal	0.0149780316830893	0.00801798240793457	0.0179710144927536
cliente_edad	0.0148906774213042	0.0016917618048605	0.0197101449275362
Visa_Fvencimiento	0.0139451399261285	0.00167168714480303	0.0185507246376812
Visa_fechaalta	0.0139258345476861	0.00099208936008001	0.0142028985507246
chomebanking_trx	0.0132808712135265	0.00916847630406505	0.0234782608695652
Visa_mconsumospesos	0.0121355451061272	0.00952091322331286	0.02
mcuenta_corriente	0.0113659170000259	0.00245988527085306	0.0144927536231884
Master_mfinanciacion_limite	0.0113008469707383	0.00223386261650569	0.0173913043478261
ctarjeta_visa_trx	0.0112046953136419	0.00948912692838697	0.0136231884057971
mcaja_ahorro_dolares	0.0105958945459364	0.00454589912090667	0.0176811594202899
Visa_mpagominimo	0.0104766431909166	0.0111063184253117	0.0185507246376812
mtarjeta_visa_debitos_automaticos	0.0104488180023549	0.00434192289678331	0.0159420289855072
Master_Fvencimiento	0.0103066359940568	0.00107852428505229	0.0153623188405797
Visa_mfinanciacion_limite	0.00989104462212795	0.0015563895841173	0.0147826086956522
Visa_mpagospesos	0.00840302762745726	0.00287909040746393	0.0142028985507246
mtransferencias_emitidas	0.0080996961274377	0.00130869445595682	0.012463768115942
mcomisiones	0.00781892441097239	0.0006726795911215	0.00695652173913044
mautoservicio	0.00720817539301793	0.00290463842953538	0.012463768115942
mtransferencias_recibidas	0.00657086809283773	0.00181215877114932	0.00869565217391304
mpagomiscuentas	0.00612309327170192	0.00413670581729652	0.0107246376811594
Visa_mpagado	0.00598391887533288	0.00155139216662627	0.00898550724637681
mcomisiones_mantenimiento	0.00494702999102779	0.00240448872798489	0.00869565217391304
mcomisiones_otras	0.00458062874240871	0.0225369760449982	0.0104347826086957
ccomisiones_mantenimiento	0.00442841817267816	0.000445280097261303	0.00289855072463768
ctarjeta_debito_trx	0.00417714405255982	0.00184304417108533	0.0072463768115942
ctransferencias_recibidas	0.00416496791275777	0.000130085836934675	0.00405797101449275
Visa_cconsumos	0.00415715289053259	0.00215939429668199	0.00869565217391304
ccuenta_debitos_automaticos	0.00413512743890305	0.00579487953725138	0.00927536231884058
cpagomiscuentas	0.00405665191498693	0.000259440759066242	0.00463768115942029
Master_fultimo_cierre	0.00402244246127947	0.0129396057336765	0.00956521739130435
ccallcenter_trx	0.00394006176893471	0.00146261151507658	0.0063768115942029
ccomisiones_otras	0.00390911078860976	0.0047617739581039	0.00811594202898551
Visa_mconsumosdolares	0.00389479598406485	0.00135375620346941	0.00492753623188406
Visa_msaldopesos	0.00359768548126169	0.00167692253455553	0.00608695652173913
cproductos	0.00359752154481029	0.00761756008196173	0.00840579710144928
matm	0.00348296695683803	0.000401833161523027	0.00434782608695652
ctarjeta_debito	0.00267231522081024	0.00154365806812826	0.00521739130434783
mcaja_ahorro_adicional	0.00264380709416763	0.00338760313420347	0.0055072463768116
Visa_mpagosdolares	0.00254090109071456	0.00158710500386654	0.0063768115942029
Master_msaldopesos	0.00252255534989632	0.00220139640083273	0.00492753623188406
ctarjeta_visa_debitos_automaticos	0.00250174603692749	0.000521159252635194	0.00405797101449275
ctransferencias_emitidas	0.00248317230153662	0.000847827175568761	0.00434782608695652
tpaquete7	0.00246966909413213	0.00628170279215914	0.00695652173913044
Master_msaldototal	0.00240025426606121	0.00213831675352258	0.00405797101449275
cextraccion_autoservicio	0.0021723303682018	0.00320801906688153	0.00579710144927536
cpagodeservicios	0.00204858587108012	0.00125705447521626	0.00463768115942029
ccaja_ahorro	0.00189248292054695	0.000163758911933707	0.00289855072463768
Master_cconsumos	0.00188571993482905	0.000983097408199905	0.00463768115942029
mtarjeta_master_consumo	0.00188460564578132	0.000852093678256675	0.00173913043478261
Master_mpagospesos	0.00184793884803423	0.000390155522691964	0.00376811594202899
active_quarter	0.00167678809000517	3.05454395624737e-05	0.000869565217391304
mcuenta_debitos_automaticos	0.0015771395485808	0.000191822640769347	0.00318840579710145
ctarjeta_master_trx	0.00150609176695056	0.000314463345523519	0.00318840579710145
mextraccion_autoservicio	0.0014712828089938	0.00103334355140896	0.00347826086956522
Visa_fultimo_cierre	0.00147014120767959	0.000353779762723298	0.00260869565217391
matm_other	0.00141750894456596	0.00106122030203915	0.00463768115942029
mforex_buy	0.00134913013704354	0.00266625821560987	0.00521739130434783
Master_mpagominimo	0.00119405688752608	0.000285532717735355	0.00202898550724638
mtarjeta_visa_descuentos	0.00119237441191371	0.000827157584857594	0.00318840579710145
Master_mpagosdolares	0.00105529247227517	0.000582284127797496	0.00347826086956522
tmobile_app	0.000940929293008952	0.000395237930276371	0.00144927536231884
