fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220426 020452	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	35	TRUE	0.221701892135581	0.814934854792896	5541	1024	0.0120447077663833	36127000	101
20220426 020525	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	36	TRUE	0.236308561929964	0.510102353327184	2086	211	0.00834019415841544	34173000	102
20220426 020541	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	28	TRUE	0.277240338328557	0.352766699090348	7176	16	0.0123498273757898	35587000	103
20220426 020601	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	27	TRUE	0.299607665058549	0.399943169267883	4931	27	0.0135038020346959	35724000	104
20220426 020623	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	36	TRUE	0.13857348894339	0.414097700785318	7001	1024	0.0235262236544984	35543000	105
20220426 020850	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	293	TRUE	0.0100701968514582	0.616201225849019	929	35	0.0138617974085168	37126000	106
20220426 020912	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	62	TRUE	0.17223656211144	0.972368964481236	6617	18	0.0147446296679306	36502000	107
20220426 021008	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	217	TRUE	0.035836161819235	0.202733610737312	7996	1024	0.0497354266990595	30715000	108
20220426 021031	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	43	TRUE	0.175178146884324	0.578595369522029	7974	919	0.0137379909790097	36389000	109
20220426 021147	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	341	TRUE	0.0194097034922236	0.742920028738757	1208	18	0.0121363224647471	36836000	110
20220426 021219	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	83	TRUE	0.0530625654717198	0.999884923767334	7306	16	0.0215556805453598	35857000	111
20220426 021331	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	339	TRUE	0.0330710277316186	0.201171720574738	7997	111	0.0133982020435257	36755000	112
20220426 021440	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	311	TRUE	0.0330491858529235	0.644504391796688	7945	30	0.0135909431504201	36743000	113
20220426 021527	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	179	TRUE	0.0430149034743234	0.207755567785298	7995	524	0.0144083089748989	37018000	114
20220426 021751	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	135	TRUE	0.0274094141880005	0.719358743682997	978	132	0.0158646789204574	36517000	115
20220426 022341	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	371	TRUE	0.0101322647191917	0.414573344515658	1055	149	0.0117143359974922	36894000	116
20220426 022428	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	128	TRUE	0.0502968845396589	0.422795211701725	7828	264	0.0140385229598066	36789000	117
20220426 022448	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	30	TRUE	0.258352747613977	0.359660699013032	5294	363	0.0130007927742527	35508000	118
20220426 022532	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	156	TRUE	0.043509034934703	0.200199955359218	7995	1024	0.0154748670733059	37280000	119
20220426 022550	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	35	TRUE	0.238004520691245	0.999506525285847	6788	982	0.0149718126703529	36490000	120
