fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 103126	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	874	TRUE	0,015851995	0,225335674	6641	185	0,011419832	5,560625791	84,06402046	0,014624806	13469000	66
20220423 110231	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	118	TRUE	0,118628867	0,912381067	7689	670	0,055503595	1,618639065	28,59680794	0,01375286	13466000	122
20220423 113751	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	53	TRUE	0,283379159	0,316871803	1827	756	0,070184802	6,487652647	96,22034521	0,014507031	13446000	190
20220423 104512	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	51	TRUE	0,151075332	0,278357474	278	253	0,020223966	7,480682928	13,97237468	0,013958754	13425000	86
20220423 103601	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	455	TRUE	0,052271929	0,831434567	7837	337	0,08256498	0,349839483	54,44732885	0,014747394	13419000	72
20220423 105640	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	229	TRUE	0,078748725	0,95740372	4067	755	0,0091439	0,098508409	20,32687814	0,013591508	13410000	111
20220423 113518	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	106	TRUE	0,233020202	0,207088865	6005	746	0,026177629	12,15023689	91,98453437	0,013972994	13406000	182
20220423 115726	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	177	TRUE	0,06851414	0,66993625	940	966	0,025499044	0,080705069	61,4141397	0,018477286	13400000	221
20220423 102911	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	384	TRUE	0,034346183	0,270092505	3297	633	0,024831488	6,123715892	99,21514157	0,01638992	13397000	65
20220423 113435	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	106	TRUE	0,286495929	0,941144437	7874	400	0,028780591	0,056067597	99,64238656	0,014990866	13392000	180
20220423 113849	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	153	TRUE	0,18997425	0,253200488	5714	859	0,034530126	0,30182689	82,02993187	0,016989061	13392000	192
20220423 103632	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	118	TRUE	0,070230179	0,827106346	4032	28	0,034700905	3,79696905	58,15247358	0,014262216	13387000	73
20220423 115906	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	55	TRUE	0,251418484	0,287474756	5224	293	0,023705545	1,17008119	77,09696864	0,014229805	13374000	228
20220423 101843	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	202	TRUE	0,061753183	0,209482905	6375	417	0,035966859	7,682672999	43,7287587	0,018233709	13368000	53
20220423 112931	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	75	TRUE	0,218984427	0,39148907	7165	22	0,092163568	1,990362973	66,1436351	0,015345632	13360000	166
