fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 220825	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	579	TRUE	0.0103193330570647	0.600934005163287	4541	635	0.0142361145782735	13921000	37
20220418 221138	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	847	TRUE	0.0100899572350005	0.510558313851283	5073	782	0.0140314853081468	13713000	38
20220418 221346	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	445	TRUE	0.0107111934425418	0.685379915893642	4074	835	0.0153056550496595	13772000	39
20220418 221519	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	295	TRUE	0.0200938342009382	0.581081615576323	4212	813	0.0148795704748289	14061000	40
20220418 221748	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	591	TRUE	0.0101712355339529	0.200944657930399	3899	935	0.0149139152695478	13718000	41
20220418 221939	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	608	TRUE	0.0190763531327522	0.602450914918969	6830	866	0.0151204617692492	13525000	42
20220418 222001	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	48	TRUE	0.110267402544365	0.307747036042021	4386	1024	0.0145268237778078	13163000	43
20220418 222234	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	1049	TRUE	0.010205460474291	0.200094811269827	7997	764	0.0179427381899971	13538000	44
20220418 222605	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	1025	TRUE	0.0102373904120051	0.364500143688873	4351	173	0.0139912084156403	14065000	45
20220418 222933	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	1170	TRUE	0.0100980972271631	0.200076792792017	4281	195	0.0138942770062317	13643000	46
20220418 223147	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	569	TRUE	0.0100718240682633	0.356148756618948	4300	16	0.00860366522538543	11674000	47
20220418 223519	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	791	TRUE	0.0100963979239328	0.587542803526583	3534	825	0.0133841258141555	13744000	48
20220418 223755	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	682	TRUE	0.0100548252104012	0.263677359872874	5103	793	0.0158647141311269	13602000	49
20220418 223907	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	436	TRUE	0.0254167053703482	0.200909634092617	7972	82	0.0268088593529483	11951000	50
20220418 224119	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	478	TRUE	0.0102142283179481	0.998488250817313	4418	811	0.00835679079998116	11861000	51
20220418 224348	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	848	TRUE	0.0103828040977199	0.998747589931867	6129	173	0.0186615946497719	12841000	52
20220418 224705	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	1237	TRUE	0.0101242045758522	0.369365107087331	7998	112	0.0144967564495039	13414000	53
20220418 225355	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	186	TRUE	0.0101673892959305	0.364954518962052	9	188	0.0141308559143356	8688000	54
