fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 184414	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.292889286558838	0.200060735235966	7704	1024	0.0222238642862242	12024000	35
20220423 184433	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	53	TRUE	0.222917519558938	0.235690388518884	7414	1006	0.0145080618447941	13047000	36
20220423 184632	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	465	TRUE	0.0278042336127408	0.384141741103699	5629	251	0.0138601765035392	13205000	37
20220423 184846	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	620	TRUE	0.0105791420078398	0.279570274274483	1337	16	0.0145313410522551	13723000	38
20220423 185155	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	425	TRUE	0.0113662067125287	0.999896665291297	2932	283	0.0165355533089359	13921000	39
20220423 185229	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	93	TRUE	0.0623824805399233	0.999884825925038	6419	341	0.0188917307572632	13163000	40
20220423 185249	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	64	TRUE	0.247020450371491	0.202366708033899	6195	372	0.0163911643902877	12857000	41
20220423 185506	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	494	TRUE	0.0100337972035945	0.363950906712659	2898	17	0.0200071235306246	13448000	42
20220423 185624	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	213	TRUE	0.0616586530704369	0.203290622877229	2174	138	0.0134669477664123	13258000	43
20220423 185639	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	24	TRUE	0.243561479735046	0.999331345411558	7835	823	0.017908148555367	13212000	44
20220423 190250	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	221	TRUE	0.0102396144316288	0.978563979555565	717	227	0.0151122636146771	13523000	45
20220423 190747	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	786	TRUE	0.0100610491996336	0.40470793053989	2891	62	0.0159829407352599	13731000	46
20220423 190815	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	63	TRUE	0.0801890159391339	0.289275022215829	7168	1024	0.0173481791623741	13208000	47
20220423 191255	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	433	TRUE	0.010073499996337	0.328588175207031	1732	326	0.0167691146997616	13906000	48
20220423 192950	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	153	TRUE	0.0101622012739352	0.278202484077981	0	336	0.0161599452776025	3201000	49
20220423 193156	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	277	TRUE	0.0101185746249419	0.990727048055065	1558	30	0.0146090407627388	13918000	50
20220423 193602	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	279	TRUE	0.0108536490969352	0.978290385637935	1440	336	0.0160749244819723	13695000	51
20220423 193720	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	255	TRUE	0.0181273369957641	0.393915903847152	1806	17	0.0147252234041455	13687000	52
20220423 194201	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	833	TRUE	0.0100252055708924	0.332997238134218	3145	346	0.0163716349546678	13643000	53
20220423 194216	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.202505761134759	0.708571932096942	7068	646	0.0189842106276404	13453000	54
20220423 194459	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	472	TRUE	0.0103281509027332	0.999082404151955	4812	262	0.0191412584505005	13092000	55
20220423 194515	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	26	TRUE	0.201031770301253	0.995972820099682	8000	16	0.0204634365792905	12758000	56
20220423 194847	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	840	TRUE	0.0101208427680991	0.344940313393729	7069	16	0.0161514635775631	13394000	57
20220423 194905	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.299647610730751	0.266991701433205	3956	1015	0.0156134374129825	12434000	58
20220423 194923	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	25	TRUE	0.181259900661211	0.31677843080231	6513	799	0.016858615673265	12937000	59
20220423 195432	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	306	TRUE	0.0102733425206078	0.97825064270827	1093	129	0.0142480495184452	13690000	60
20220423 195450	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.236879827003074	0.527526385358302	7214	16	0.0189518237171475	12998000	61
20220423 195631	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	360	TRUE	0.010270003334572	0.999970165278644	895	18	0.0191200618507834	12985000	62
20220423 195845	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	472	TRUE	0.010306475054132	0.902777182671634	7775	432	0.0190229464078426	13215000	63
20220423 200411	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	691	TRUE	0.0100653337410355	0.251096701421731	1725	111	0.0158383640803947	14043000	64
20220423 200801	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	445	TRUE	0.0101342116769839	0.284514609815908	2259	1024	0.0147083164597968	13782000	65
20220423 201143	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	712	TRUE	0.0100245905616599	0.311337660563148	4387	1023	0.0173335070324988	13846000	66
20220423 201157	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	14	TRUE	0.299727422122575	0.949555192418031	7170	417	0.0203955997398798	13404000	67
20220423 201215	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	32	TRUE	0.170718412204542	0.300180889563222	7281	350	0.0192445380735183	13044000	68
20220423 201614	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	491	TRUE	0.0100013577522009	0.279709838689936	2285	618	0.0166451983650504	13749000	69
20220423 201936	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	953	TRUE	0.0102798335326121	0.935364473962844	7089	19	0.0160936607182532	13603000	70
20220423 202309	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	438	TRUE	0.0101581295968939	0.759625910166656	2650	1024	0.0155981950953402	13812000	71
20220423 202625	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	320	TRUE	0.0100522300197308	0.683234844665698	2464	298	0.0149994923874613	13684000	72
20220423 202643	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	18	TRUE	0.28885239602035	0.999928321608576	4116	1024	0.0173598943427918	12523000	73
20220423 202941	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	475	TRUE	0.0129227685414385	0.593760598070185	4088	974	0.0153446025131335	13586000	74
20220423 202956	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	28	TRUE	0.296621587817914	0.312936672937605	4548	16	0.01569770706154	12879000	75
20220423 203357	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	305	TRUE	0.0103624690583293	0.998423568187141	1647	1009	0.0146225803285625	13809000	76
20220423 203413	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.227094018145593	0.999663983077015	7007	1024	0.0152598948602865	13052000	77
20220423 203426	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	16	TRUE	0.291879474224644	0.988379479246348	6153	16	0.016723221489284	12575000	78
20220423 203441	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	16	TRUE	0.226266675299909	0.999629295023413	7247	579	0.0245419966465494	12391000	79
20220423 203828	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	497	TRUE	0.0103531718225427	0.304112115190772	2624	1023	0.0206040167060376	13593000	80
