min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
100	10	-1	4	00:12:47	00:13:44	57.8334579467773	9973333.33333333
500	10	-1	4	00:12:47	00:13:45	58.1542510986328	9973333.33333333
250	10	-1	4	00:12:47	00:13:45	58.9058179855347	9973333.33333333
50	10	-1	4	00:12:47	00:13:46	58.9698030948639	9973333.33333333
750	10	-1	4	00:13:46	00:14:38	52.2924678325653	9973333.33333333
1000	10	-1	4	00:13:46	00:14:40	53.9125571250916	9993333.33333333
100	20	-1	4	00:13:46	00:14:40	53.9295301437378	10166666.6666667
50	20	-1	4	00:13:46	00:14:40	54.001501083374	10166666.6666667
750	20	-1	4	00:14:40	00:15:34	54.3374609947205	10166666.6666667
250	20	-1	4	00:14:40	00:15:34	54.6242818832397	10166666.6666667
500	20	-1	4	00:14:40	00:15:35	55.2219371795654	10166666.6666667
1000	20	-1	4	00:14:40	00:15:35	55.2159359455109	10033333.3333333
500	50	-1	4	00:15:35	00:16:27	52.5138831138611	10096666.6666667
100	50	-1	4	00:15:35	00:16:28	52.6088221073151	10096666.6666667
50	50	-1	4	00:15:35	00:16:28	52.6737859249115	10096666.6666667
250	50	-1	4	00:15:35	00:16:28	53.0985360145569	10096666.6666667
50	100	-1	4	00:16:29	00:17:21	51.7683100700378	10096666.6666667
750	50	-1	4	00:16:29	00:17:22	52.2060589790344	10096666.6666667
1000	50	-1	4	00:16:29	00:17:22	52.7357499599457	10033333.3333333
100	100	-1	4	00:16:29	00:17:22	52.7767250537872	10096666.6666667
750	100	-1	4	00:17:22	00:18:15	52.9026570320129	10096666.6666667
500	100	-1	4	00:17:22	00:18:16	53.7501690387726	10096666.6666667
250	100	-1	4	00:17:22	00:18:16	53.9950289726257	10096666.6666667
1000	100	-1	4	00:17:22	00:18:16	54.0210120677948	10033333.3333333
250	200	-1	4	00:18:17	00:19:09	51.4295091629028	9453333.33333333
500	200	-1	4	00:18:17	00:19:09	52.0431480407715	9453333.33333333
50	200	-1	4	00:18:17	00:19:10	52.4559109210968	9453333.33333333
100	200	-1	4	00:18:17	00:19:10	53.1555089950562	9453333.33333333
1000	200	-1	4	00:19:11	00:20:04	53.0565421581268	9610000
50	500	-1	4	00:19:11	00:20:04	53.4813089370728	9610000
100	500	-1	4	00:19:11	00:20:05	54.1039400100708	9610000
