min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
25	5	0.008	10	48.47	0
25	5	0.008	15	53.86	0
25	5	0.008	20	54.11	0
25	5	0.009	4	27.94	0
25	5	0.009	6	36.1	0
25	5	0.009	8	41.91	0
25	5	0.009	10	46.44	0
25	5	0.009	15	51.5	0
25	5	0.009	20	51.4	0
25	5	0.01	4	28.23	0
25	5	0.01	6	35.06	0
25	5	0.01	8	41.4	0
25	5	0.01	10	46.19	0
25	5	0.01	15	50.42	0
25	5	0.01	20	50.45	0
25	12	-1	4	28.88	8947333
25	12	-1	6	40.72	10184000
25	12	-1	8	52.35	9520667
25	12	-1	10	63.29	8284000
25	12	-1	15	85.88	5219333
25	12	-1	20	96.44	3468000
25	12	-0.75	4	28	8947333
25	12	-0.75	6	39.9	10184000
25	12	-0.75	8	52.07	9520667
25	12	-0.75	10	63.16	8284000
25	12	-0.75	15	84.67	5219333
25	12	-0.75	20	96.59	3468000
25	12	-0.5	4	27.89	8947333
25	12	-0.5	6	39.89	10184000
25	12	-0.5	8	51.89	9520667
25	12	-0.5	10	63.18	8284000
25	12	-0.5	15	85.59	5219333
25	12	-0.5	20	97.29	3468000
25	12	-0.25	4	27.74	8947333
25	12	-0.25	6	39.86	10184000
25	12	-0.25	8	51.85	9520667
25	12	-0.25	10	62.93	8284000
25	12	-0.25	15	87.75	5219333
25	12	-0.25	20	98.84	3468000
25	12	0	4	28.27	0
25	12	0	6	40.49	0
25	12	0	8	52.48	0
25	12	0	10	64.16	4712667
25	12	0	15	85.35	9411333
25	12	0	20	95.8	9394667
25	12	0.001	4	28.4	0
25	12	0.001	6	40.49	0
25	12	0.001	8	51.9	0
25	12	0.001	10	63.49	0
25	12	0.001	15	81.92	0
25	12	0.001	20	92.03	0
25	12	0.002	4	28.86	0
25	12	0.002	6	40.27	0
25	12	0.002	8	51.93	0
25	12	0.002	10	60.1	0
25	12	0.002	15	74.52	0
25	12	0.002	20	81.51	0
25	12	0.003	4	29.07	0
25	12	0.003	6	40.81	0
25	12	0.003	8	51.71	0
25	12	0.003	10	56.8	0
25	12	0.003	15	67.01	0
25	12	0.003	20	70.42	0
25	12	0.004	4	27.68	0
25	12	0.004	6	39	0
25	12	0.004	8	47.63	0
25	12	0.004	10	53.12	0
25	12	0.004	15	61.87	0
25	12	0.004	20	64.62	0
25	12	0.005	4	28.14	0
25	12	0.005	6	38.44	0
25	12	0.005	8	44.29	0
25	12	0.005	10	50.58	0
25	12	0.005	15	56.83	0
25	12	0.005	20	58.65	0
25	12	0.006	4	28.6	0
25	12	0.006	6	38	0
25	12	0.006	8	43.97	0
25	12	0.006	10	48.43	0
25	12	0.006	15	53.91	0
25	12	0.006	20	55.2	0
25	12	0.007	4	28.74	0
25	12	0.007	6	36.99	0
25	12	0.007	8	42.67	0
25	12	0.007	10	47.27	0
25	12	0.007	15	51.74	0
25	12	0.007	20	51.73	0
25	12	0.008	4	29	0
25	12	0.008	6	36.77	0
25	12	0.008	8	43.04	0
25	12	0.008	10	46.56	0
25	12	0.008	15	50.12	0
25	12	0.008	20	49.72	0
25	12	0.009	4	28.79	0
25	12	0.009	6	35.56	0
25	12	0.009	8	41.36	0
25	12	0.009	10	43.96	0
25	12	0.009	15	47.01	0
25	12	0.009	20	46.59	0
25	12	0.01	4	28.37	0
25	12	0.01	6	35.47	0
25	12	0.01	8	41.04	0
25	12	0.01	10	43.91	0
25	12	0.01	15	45.08	0
25	12	0.01	20	45.26	0
50	5	-1	4	29.87	9016000
50	5	-1	6	40.33	10010000
50	5	-1	8	52.99	10088000
50	5	-1	10	65.22	9521333
50	5	-1	15	89.81	6911333
50	5	-1	20	105.31	4101333
50	5	-0.75	4	28.75	9016000
50	5	-0.75	6	40.66	10010000
50	5	-0.75	8	52.7	10088000
50	5	-0.75	10	64.05	9521333
50	5	-0.75	15	88.02	6911333
50	5	-0.75	20	100.75	4101333
50	5	-0.5	4	28.29	9016000
50	5	-0.5	6	39.46	10010000
50	5	-0.5	8	51.42	10088000
50	5	-0.5	10	62.17	9521333
50	5	-0.5	15	87	6911333
50	5	-0.5	20	101.09	4101333
50	5	-0.25	4	27.7	9016000
50	5	-0.25	6	39.67	10010000
50	5	-0.25	8	51.41	10088000
50	5	-0.25	10	63	9521333
50	5	-0.25	15	87.67	6911333
50	5	-0.25	20	102.16	4101333
50	5	0	4	27.63	0
50	5	0	6	38.99	1282000
50	5	0	8	51.81	4610667
50	5	0	10	62.36	8697333
50	5	0	15	86.25	8930000
50	5	0	20	99.87	8776000
50	5	0.001	4	28.03	0
