min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
350	20	-1	4	00:20:00	00:21:27	87.4658308029175	10166666.6666667
150	20	-1	4	00:20:00	00:21:28	88.2373900413513	10166666.6666667
400	20	-1	4	00:20:00	00:21:31	90.8099129199982	10166666.6666667
100	20	-1	4	00:20:00	00:21:31	91.3256158828735	10166666.6666667
250	20	-1	4	00:20:00	00:21:31	91.4535419940948	10166666.6666667
450	20	-1	4	00:20:00	00:21:33	93.2954859733582	10166666.6666667
200	20	-1	4	00:20:00	00:21:34	94.1939687728882	10166666.6666667
300	20	-1	4	00:20:00	00:21:35	94.6387150287628	10166666.6666667
800	20	-1	4	00:21:35	00:23:01	86.0066690444946	10033333.3333333
600	20	-1	4	00:21:35	00:23:02	86.5793390274048	10166666.6666667
500	20	-1	4	00:21:35	00:23:03	87.9905300140381	10166666.6666667
100	21	-1	4	00:21:35	00:23:04	88.7450971603394	10166666.6666667
550	20	-1	4	00:21:35	00:23:04	88.9629721641541	10166666.6666667
700	20	-1	4	00:21:35	00:23:06	90.7939219474792	10166666.6666667
750	20	-1	4	00:21:35	00:23:07	92.1171591281891	10166666.6666667
650	20	-1	4	00:21:35	00:23:08	93.0926010608673	10166666.6666667
150	21	-1	4	00:23:08	00:24:33	84.8663210868835	10166666.6666667
400	21	-1	4	00:23:08	00:24:34	85.8997280597687	10166666.6666667
250	21	-1	4	00:23:08	00:24:36	87.5957581996918	10166666.6666667
500	21	-1	4	00:23:08	00:24:36	87.7676558494568	10166666.6666667
450	21	-1	4	00:23:08	00:24:38	89.5206499099731	10166666.6666667
300	21	-1	4	00:23:08	00:24:39	90.5270729064941	10166666.6666667
200	21	-1	4	00:23:08	00:24:40	91.5724749565125	10166666.6666667
350	21	-1	4	00:23:08	00:24:41	93.1445829868317	10166666.6666667
100	22	-1	4	00:24:41	00:26:08	86.7992129325867	10166666.6666667
650	21	-1	4	00:24:41	00:26:08	87.0980401039124	10166666.6666667
700	21	-1	4	00:24:41	00:26:09	87.2069799900055	10166666.6666667
600	21	-1	4	00:24:41	00:26:09	88.1524350643158	10166666.6666667
150	22	-1	4	00:24:41	00:26:12	90.2852120399475	10166666.6666667
550	21	-1	4	00:24:41	00:26:12	90.4681069850922	10166666.6666667
750	21	-1	4	00:24:41	00:26:12	91.0277848243713	10166666.6666667
800	21	-1	4	00:24:41	00:26:15	93.6452841758728	10033333.3333333
450	22	-1	4	00:26:15	00:27:40	85.3970189094543	10166666.6666667
550	22	-1	4	00:26:15	00:27:41	85.9417021274567	10166666.6666667
400	22	-1	4	00:26:15	00:27:43	88.4122860431671	10166666.6666667
250	22	-1	4	00:26:15	00:27:43	88.4612579345703	10166666.6666667
500	22	-1	4	00:26:15	00:27:45	89.6665618419647	10166666.6666667
200	22	-1	4	00:26:15	00:27:47	91.5384960174561	10166666.6666667
350	22	-1	4	00:26:15	00:27:47	92.0541980266571	10166666.6666667
300	22	-1	4	00:26:15	00:27:48	92.9376878738403	10166666.6666667
200	23	-1	4	00:27:48	00:29:14	85.5749130249023	10166666.6666667
650	22	-1	4	00:27:48	00:29:16	87.1719980239868	10166666.6666667
700	22	-1	4	00:27:48	00:29:16	87.2719390392303	10166666.6666667
750	22	-1	4	00:27:48	00:29:16	88.0135159492493	10166666.6666667
150	23	-1	4	00:27:48	00:29:18	89.5326430797577	10166666.6666667
600	22	-1	4	00:27:48	00:29:19	90.8918650150299	10166666.6666667
800	22	-1	4	00:27:48	00:29:20	91.3875799179077	10033333.3333333
100	23	-1	4	00:27:48	00:29:21	93.0006530284882	10166666.6666667
550	23	-1	4	00:29:21	00:30:48	86.3314850330353	10166666.6666667
600	23	-1	4	00:29:21	00:30:48	86.4663999080658	10166666.6666667
450	23	-1	4	00:29:21	00:30:49	87.6287350654602	10166666.6666667
250	23	-1	4	00:29:21	00:30:50	88.2203969955444	10166666.6666667
300	23	-1	4	00:29:21	00:30:50	88.3213398456573	10166666.6666667
400	23	-1	4	00:29:21	00:30:52	90.4111411571503	10166666.6666667
500	23	-1	4	00:29:21	00:30:54	92.0352091789246	10166666.6666667
350	23	-1	4	00:29:21	00:30:54	92.6148769855499	10166666.6666667
200	24	-1	4	00:30:54	00:32:18	84.1207478046417	10166666.6666667
800	23	-1	4	00:30:54	00:32:19	84.4055800437927	10033333.3333333
250	24	-1	4	00:30:54	00:32:22	87.7806429862976	10166666.6666667
150	24	-1	4	00:30:54	00:32:23	89.022931098938	10166666.6666667
650	23	-1	4	00:30:54	00:32:24	89.9384059906006	10166666.6666667
100	24	-1	4	00:30:54	00:32:26	91.1796958446503	10166666.6666667
700	23	-1	4	00:30:54	00:32:26	91.6414310932159	10166666.6666667
750	23	-1	4	00:30:54	00:32:27	92.4859437942505	10166666.6666667
450	24	-1	4	00:32:27	00:33:52	85.066202878952	10166666.6666667
650	24	-1	4	00:32:27	00:33:53	85.7518110275269	10166666.6666667
600	24	-1	4	00:32:27	00:33:53	86.0546388626099	10166666.6666667
400	24	-1	4	00:32:27	00:33:54	86.5833349227905	10166666.6666667
300	24	-1	4	00:32:27	00:33:57	89.4686830043793	10166666.6666667
550	24	-1	4	00:32:27	00:33:57	89.7345299720764	10166666.6666667
350	24	-1	4	00:32:27	00:33:59	91.7433738708496	10166666.6666667
500	24	-1	4	00:32:27	00:33:59	92.014219045639	10166666.6666667
700	24	-1	4	00:33:59	00:35:24	85.1091821193695	10166666.6666667
150	25	-1	4	00:33:59	00:35:25	85.2790830135345	10166666.6666667
100	25	-1	4	00:33:59	00:35:26	86.470400094986	10166666.6666667
750	24	-1	4	00:33:59	00:35:28	88.398295879364	10166666.6666667
300	25	-1	4	00:33:59	00:35:29	89.4277040958405	10166666.6666667
800	24	-1	4	00:33:59	00:35:29	89.7065401077271	10033333.3333333
200	25	-1	4	00:33:59	00:35:31	91.8523080348969	10166666.6666667
250	25	-1	4	00:33:59	00:35:31	91.8673181533813	10166666.6666667
450	25	-1	4	00:35:31	00:36:56	85.0352239608765	10166666.6666667
500	25	-1	4	00:35:31	00:36:57	85.2850790023804	10166666.6666667
600	25	-1	4	00:35:31	00:36:57	85.5149519443512	10166666.6666667
700	25	-1	4	00:35:31	00:36:57	85.8687429428101	10166666.6666667
400	25	-1	4	00:35:31	00:36:59	88.1344499588013	10166666.6666667
650	25	-1	4	00:35:31	00:37:01	90.2002592086792	10166666.6666667
550	25	-1	4	00:35:31	00:37:02	90.4141359329224	10166666.6666667
350	25	-1	4	00:35:31	00:37:03	91.4735288619995	10166666.6666667
200	26	-1	4	00:37:03	00:38:29	86.047641992569	10166666.6666667
350	26	-1	4	00:37:03	00:38:30	86.6622910499573	10166666.6666667
250	26	-1	4	00:37:03	00:38:30	86.8511819839478	10166666.6666667
150	26	-1	4	00:37:03	00:38:30	86.9071509838104	10166666.6666667
