quant	tiros1	tiros2	tiros_total	tasa_elec_correcta
0.8	50	410	13200	0.8654
0.8	50	420	13400	0.8671
0.8	50	430	13600	0.8677
0.8	50	440	13800	0.8708
0.8	50	450	14000	0.8716
0.8	50	460	14200	0.876
0.8	50	470	14400	0.8714
0.8	50	480	14600	0.8731
0.8	50	490	14800	0.8697
0.8	50	500	15000	0.8715
0.8	60	350	13000	0.9024
0.8	60	360	13200	0.8983
0.8	60	370	13400	0.9111
0.8	60	380	13600	0.9067
0.8	60	390	13800	0.9024
0.8	60	400	14000	0.9055
0.8	60	410	14200	0.9141
0.8	60	420	14400	0.9096
0.8	60	430	14600	0.9091
0.8	60	440	14800	0.9074
0.8	60	450	15000	0.9088
0.8	70	300	13000	0.9265
0.8	70	310	13200	0.9268
0.8	70	320	13400	0.9249
0.8	70	330	13600	0.9282
0.8	70	340	13800	0.9271
0.8	70	350	14000	0.9325
0.8	70	360	14200	0.9308
0.8	70	370	14400	0.9328
0.8	70	380	14600	0.9349
0.8	70	390	14800	0.9335
0.8	70	400	15000	0.9317
0.8	80	250	13000	0.9246
0.8	80	260	13200	0.9263
0.8	80	270	13400	0.9277
0.8	80	280	13600	0.9366
0.8	80	290	13800	0.9381
0.8	80	300	14000	0.9426
0.8	80	310	14200	0.943
0.8	80	320	14400	0.9423
0.8	80	330	14600	0.9519
0.8	80	340	14800	0.9467
0.8	80	350	15000	0.9471
0.8	90	200	13000	0.9068
0.8	90	210	13200	0.9138
0.8	90	220	13400	0.9208
0.8	90	230	13600	0.9275
0.8	90	240	13800	0.9291
0.8	90	250	14000	0.9366
0.8	90	260	14200	0.9422
0.8	90	270	14400	0.9455
0.8	90	280	14600	0.9488
0.8	90	290	14800	0.9518
0.8	90	300	15000	0.9493
0.8	100	150	13000	0.8484
0.8	100	160	13200	0.8724
0.8	100	170	13400	0.8784
0.8	100	180	13600	0.8932
0.8	100	190	13800	0.9035
0.8	100	200	14000	0.9092
0.8	100	210	14200	0.92
0.8	100	220	14400	0.9299
0.8	100	230	14600	0.9362
0.8	100	240	14800	0.9386
0.8	100	250	15000	0.9474
0.8	110	140	13800	0.8364
0.8	110	150	14000	0.8526
0.8	110	160	14200	0.8691
0.8	110	170	14400	0.88
0.8	110	180	14600	0.8908
0.8	110	190	14800	0.9081
0.8	110	200	15000	0.9139
0.8	120	140	14800	0.8316
0.8	120	150	15000	0.859
0.85	50	540	13100	0.8138
0.85	50	550	13250	0.8183
0.85	50	560	13400	0.8229
0.85	50	570	13550	0.8141
0.85	50	580	13700	0.8155
0.85	50	590	13850	0.8193
0.85	50	600	14000	0.8226
0.85	50	610	14150	0.8206
0.85	50	620	14300	0.8176
0.85	50	630	14450	0.8224
0.85	50	640	14600	0.8238
0.85	50	650	14750	0.8189
0.85	50	660	14900	0.8136
0.85	60	470	13050	0.8701
0.85	60	480	13200	0.8646
0.85	60	490	13350	0.8656
0.85	60	500	13500	0.8741
0.85	60	510	13650	0.8691
0.85	60	520	13800	0.8706
0.85	60	530	13950	0.8666
0.85	60	540	14100	0.8675
0.85	60	550	14250	0.8683
0.85	60	560	14400	0.869
0.85	60	570	14550	0.8744
0.85	60	580	14700	0.8698
0.85	60	590	14850	0.8702
0.85	60	600	15000	0.8717
0.85	70	410	13150	0.8961
0.85	70	420	13300	0.9018
0.85	70	430	13450	0.9007
0.85	70	440	13600	0.9018
0.85	70	450	13750	0.8999
0.85	70	460	13900	0.8965
0.85	70	470	14050	0.8999
0.85	70	480	14200	0.9004
0.85	70	490	14350	0.9025
0.85	70	500	14500	0.8997
0.85	70	510	14650	0.9057
0.85	70	520	14800	0.904
0.85	70	530	14950	0.9017
0.85	80	340	13100	0.925
0.85	80	350	13250	0.9235
0.85	80	360	13400	0.9235
0.85	80	370	13550	0.9245
0.85	80	380	13700	0.9291
0.85	80	390	13850	0.9239
0.85	80	400	14000	0.9227
0.85	80	410	14150	0.9285
0.85	80	420	14300	0.932
0.85	80	430	14450	0.9305
0.85	80	440	14600	0.9286
0.85	80	450	14750	0.9308
0.85	80	460	14900	0.9308
0.85	90	270	13050	0.929
0.85	90	280	13200	0.9268
0.85	90	290	13350	0.9386
0.85	90	300	13500	0.9408
0.85	90	310	13650	0.9383
0.85	90	320	13800	0.9401
0.85	90	330	13950	0.9405
0.85	90	340	14100	0.9402
0.85	90	350	14250	0.9399
0.85	90	360	14400	0.9394
0.85	90	370	14550	0.9467
0.85	90	380	14700	0.9456
0.85	90	390	14850	0.9474
0.85	90	400	15000	0.9478
0.85	100	210	13150	0.9149
0.85	100	220	13300	0.9233
0.85	100	230	13450	0.9307
0.85	100	240	13600	0.9319
0.85	100	250	13750	0.9346
0.85	100	260	13900	0.9384
0.85	100	270	14050	0.9381
0.85	100	280	14200	0.9475
0.85	100	290	14350	0.9446
0.85	100	300	14500	0.9461
0.85	100	310	14650	0.9501
0.85	100	320	14800	0.9554
0.85	100	330	14950	0.9561
0.85	110	140	13100	0.8455
0.85	110	150	13250	0.8602
0.85	110	160	13400	0.8693
0.85	110	170	13550	0.8894
0.85	110	180	13700	0.8992
0.85	110	190	13850	0.9108
0.85	110	200	14000	0.9175
0.85	110	210	14150	0.9226
0.85	110	220	14300	0.9312
0.85	110	230	14450	0.935
0.85	110	240	14600	0.9399
0.85	110	250	14750	0.9419
0.85	110	260	14900	0.9496
0.85	120	140	14100	0.8453
0.85	120	150	14250	0.8668
0.85	120	160	14400	0.8818
0.85	120	170	14550	0.8939
0.85	120	180	14700	0.9053
0.85	120	190	14850	0.916
0.85	120	200	15000	0.9235
0.9	50	810	13100	0.7423
0.9	50	820	13200	0.7408
