quant	tiros1	tiros2	tiros_total	tasa_elec_correcta
0.9	70	600	13000	0.8498
0.9	70	610	13100	0.8515
0.9	70	620	13200	0.8542
0.9	70	630	13300	0.8439
0.9	70	640	13400	0.8515
0.9	70	650	13500	0.8493
0.9	70	660	13600	0.8425
0.9	70	670	13700	0.8532
0.9	70	680	13800	0.8402
0.9	70	690	13900	0.8491
0.9	70	700	14000	0.8491
0.9	70	710	14100	0.8502
0.9	70	720	14200	0.8458
0.9	70	730	14300	0.8503
0.9	70	740	14400	0.8481
0.9	70	750	14500	0.8441
0.9	70	760	14600	0.8437
0.9	70	770	14700	0.8465
0.9	70	780	14800	0.849
0.9	70	790	14900	0.8491
0.9	70	800	15000	0.8446
0.9	80	500	13000	0.8863
0.9	80	510	13100	0.8878
0.9	80	520	13200	0.8796
0.9	80	530	13300	0.8848
0.9	80	540	13400	0.888
0.9	80	550	13500	0.8842
0.9	80	560	13600	0.8784
0.9	80	570	13700	0.8843
0.9	80	580	13800	0.881
0.9	80	590	13900	0.8806
0.9	80	600	14000	0.8821
0.9	80	610	14100	0.8764
0.9	80	620	14200	0.8776
0.9	80	630	14300	0.882
0.9	80	640	14400	0.8786
0.9	80	650	14500	0.8884
0.9	80	660	14600	0.8811
0.9	80	670	14700	0.8765
0.9	80	680	14800	0.8842
0.9	80	690	14900	0.8805
0.9	80	700	15000	0.8824
0.9	90	400	13000	0.9104
0.9	90	410	13100	0.907
0.9	90	420	13200	0.9094
0.9	90	430	13300	0.9086
0.9	90	440	13400	0.9037
0.9	90	450	13500	0.9087
0.9	90	460	13600	0.9081
0.9	90	470	13700	0.903
0.9	90	480	13800	0.9114
0.9	90	490	13900	0.9174
0.9	90	500	14000	0.9086
0.9	90	510	14100	0.9145
0.9	90	520	14200	0.9095
0.9	90	530	14300	0.9063
0.9	90	540	14400	0.9081
0.9	90	550	14500	0.9135
0.9	90	560	14600	0.9116
0.9	90	570	14700	0.9097
0.9	90	580	14800	0.907
0.9	90	590	14900	0.9088
0.9	90	600	15000	0.9127
0.9	100	300	13000	0.9158
0.9	100	310	13100	0.9211
0.9	100	320	13200	0.9225
0.9	100	330	13300	0.9273
0.9	100	340	13400	0.9288
0.9	100	350	13500	0.9308
0.9	100	360	13600	0.9281
0.9	100	370	13700	0.9238
0.9	100	380	13800	0.9264
0.9	100	390	13900	0.9269
0.9	100	400	14000	0.9284
0.9	100	410	14100	0.9303
0.9	100	420	14200	0.9354
0.9	100	430	14300	0.9302
0.9	100	440	14400	0.9289
0.9	100	450	14500	0.9335
0.9	100	460	14600	0.9313
0.9	100	470	14700	0.9279
0.9	100	480	14800	0.9274
0.9	100	490	14900	0.932
0.9	100	500	15000	0.929
0.9	110	200	13000	0.9065
0.9	110	210	13100	0.9208
0.9	110	220	13200	0.9138
0.9	110	230	13300	0.9237
0.9	110	240	13400	0.9251
0.9	110	250	13500	0.9262
0.9	110	260	13600	0.9289
0.9	110	270	13700	0.9355
0.9	110	280	13800	0.9367
0.9	110	290	13900	0.9383
0.9	110	300	14000	0.9449
0.9	110	310	14100	0.939
0.9	110	320	14200	0.9408
0.9	110	330	14300	0.9437
0.9	110	340	14400	0.943
0.9	110	350	14500	0.9447
0.9	110	360	14600	0.946
0.9	110	370	14700	0.9468
0.9	110	380	14800	0.9471
0.9	110	390	14900	0.9438
0.9	110	400	15000	0.9447
0.9	120	140	13400	0.8609
0.9	120	150	13500	0.8761
0.9	120	160	13600	0.8867
0.9	120	170	13700	0.8985
0.9	120	180	13800	0.9055
0.9	120	190	13900	0.9091
0.9	120	200	14000	0.9151
0.9	120	210	14100	0.9207
0.9	120	220	14200	0.9261
0.9	120	230	14300	0.9327
0.9	120	240	14400	0.9337
0.9	120	250	14500	0.9422
0.9	120	260	14600	0.9395
0.9	120	270	14700	0.9462
0.9	120	280	14800	0.9489
0.9	120	290	14900	0.9497
0.9	120	300	15000	0.9501
0.9	130	140	14400	0.8692
0.9	130	150	14500	0.8867
0.9	130	160	14600	0.894
0.9	130	170	14700	0.9016
0.9	130	180	14800	0.9116
0.9	130	190	14900	0.9261
0.9	130	200	15000	0.9253
