0.5	50	0.9792
0.5	60	0.9886
0.5	70	0.9931
0.5	80	0.9959
0.5	90	0.9976
0.5	100	0.9983
0.5	110	0.9992
0.5	120	0.9997
0.5	130	0.9997
0.5	140	0.9998
0.55	50	0.9731
0.55	60	0.9846
0.55	70	0.9903
0.55	80	0.9934
0.55	90	0.9959
0.55	100	0.9982
0.55	110	0.9985
0.55	120	0.9996
0.55	130	0.9997
0.55	140	0.9998
0.6	50	0.9641
0.6	60	0.9746
0.6	70	0.9881
0.6	80	0.9918
0.6	90	0.995
0.6	100	0.9976
0.6	110	0.9982
0.6	120	0.9991
0.6	130	0.9995
0.6	140	0.9993
0.65	50	0.954
0.65	60	0.9687
0.65	70	0.9807
0.65	80	0.989
0.65	90	0.9923
0.65	100	0.9949
0.65	110	0.9957
0.65	120	0.9981
0.65	130	0.9987
0.65	140	0.9989
0.7	50	0.9318
0.7	60	0.9569
0.7	70	0.9714
0.7	80	0.9807
0.7	90	0.9864
0.7	100	0.9918
0.7	110	0.9954
0.7	120	0.996
0.7	130	0.9977
0.7	140	0.998
0.75	50	0.9061
0.75	60	0.9376
0.75	70	0.9583
0.75	80	0.97
0.75	90	0.9812
0.75	100	0.9865
0.75	110	0.9896
0.75	120	0.9936
0.75	130	0.9957
0.75	140	0.9968
0.8	50	0.8747
0.8	60	0.9106
0.8	70	0.9417
0.8	80	0.9533
0.8	90	0.9691
0.8	100	0.9755
0.8	110	0.985
0.8	120	0.9897
0.8	130	0.9939
0.8	140	0.9947
0.85	50	0.8256
0.85	60	0.8672
0.85	70	0.9026
0.85	80	0.931
0.85	90	0.9484
0.85	100	0.9617
0.85	110	0.9724
0.85	120	0.9801
0.85	130	0.986
0.85	140	0.9897
0.9	50	0.7326
0.9	60	0.7956
0.9	70	0.8448
0.9	80	0.88
0.9	90	0.9071
0.9	100	0.9308
0.9	110	0.9489
0.9	120	0.9582
0.9	130	0.9695
0.9	140	0.9785
0.95	50	0.5871
0.95	60	0.656
0.95	70	0.7175
0.95	80	0.7662
0.95	90	0.8172
0.95	100	0.8468
0.95	110	0.874
0.95	120	0.9048
0.95	130	0.9225
0.95	140	0.9354
