quant	tiros1	tiros2	tiros_total	tasa_elec_correcta
0.7	10	400	13000	0.585
0.7	10	410	13300	0.5847
0.7	10	420	13600	0.5789
0.7	10	430	13900	0.5812
0.7	10	440	14200	0.5692
0.7	10	450	14500	0.5811
0.7	10	460	14800	0.5844
0.7	20	370	13100	0.7434
0.7	20	380	13400	0.7354
0.7	20	390	13700	0.7394
0.7	20	400	14000	0.7365
0.7	20	410	14300	0.736
0.7	20	420	14600	0.7442
0.7	20	430	14900	0.7332
0.7	30	340	13200	0.8283
0.7	30	350	13500	0.8128
0.7	30	360	13800	0.8303
0.7	30	370	14100	0.8318
0.7	30	380	14400	0.8316
0.7	30	390	14700	0.8286
0.7	40	300	13000	0.8731
0.7	40	310	13300	0.8785
0.7	40	320	13600	0.8834
0.7	40	330	13900	0.8835
0.7	40	340	14200	0.8853
0.7	40	350	14500	0.8805
0.7	40	360	14800	0.8804
0.7	50	270	13100	0.9052
0.7	50	280	13400	0.9069
0.7	50	290	13700	0.9054
0.7	50	300	14000	0.907
0.7	50	310	14300	0.9143
0.7	50	320	14600	0.9147
0.7	50	330	14900	0.9152
0.7	60	240	13200	0.9098
0.7	60	250	13500	0.9138
0.7	60	260	13800	0.9203
0.7	60	270	14100	0.9215
0.7	60	280	14400	0.929
0.7	60	290	14700	0.9335
0.7	70	200	13000	0.8935
0.7	70	210	13300	0.9014
0.7	70	220	13600	0.9108
0.7	70	230	13900	0.9191
0.7	70	240	14200	0.9206
0.7	70	250	14500	0.9314
0.7	70	260	14800	0.9269
0.7	80	170	13100	0.8589
0.7	80	180	13400	0.8782
0.7	80	190	13700	0.896
0.7	80	200	14000	0.8976
0.7	80	210	14300	0.9111
0.7	80	220	14600	0.9206
0.7	80	230	14900	0.9244
0.7	90	140	13200	0.8034
0.7	90	150	13500	0.8238
0.7	90	160	13800	0.8427
0.7	90	170	14100	0.8689
0.7	90	180	14400	0.8805
0.7	90	190	14700	0.8909
0.7	90	200	15000	0.9067
0.7	100	140	14200	0.8089
0.7	100	150	14500	0.8361
0.7	100	160	14800	0.8565
0.75	10	480	13000	0.4743
0.75	10	490	13250	0.4657
0.75	10	500	13500	0.4603
0.75	10	510	13750	0.4718
0.75	10	520	14000	0.4626
0.75	10	530	14250	0.4659
0.75	10	540	14500	0.4726
0.75	10	550	14750	0.4679
0.75	10	560	15000	0.4707
0.75	20	440	13000	0.6732
0.75	20	450	13250	0.6742
0.75	20	460	13500	0.6652
0.75	20	470	13750	0.6653
0.75	20	480	14000	0.6676
0.75	20	490	14250	0.6739
0.75	20	500	14500	0.6666
0.75	20	510	14750	0.6783
0.75	20	520	15000	0.6781
0.75	30	400	13000	0.7823
0.75	30	410	13250	0.7854
0.75	30	420	13500	0.7849
0.75	30	430	13750	0.7927
0.75	30	440	14000	0.7969
0.75	30	450	14250	0.7883
0.75	30	460	14500	0.7884
0.75	30	470	14750	0.7872
0.75	30	480	15000	0.7889
0.75	40	360	13000	0.8557
0.75	40	370	13250	0.8568
0.75	40	380	13500	0.8548
0.75	40	390	13750	0.8595
0.75	40	400	14000	0.8563
0.75	40	410	14250	0.8548
0.75	40	420	14500	0.8628
0.75	40	430	14750	0.8675
0.75	40	440	15000	0.865
0.75	50	320	13000	0.8967
0.75	50	330	13250	0.8988
0.75	50	340	13500	0.8967
0.75	50	350	13750	0.8991
0.75	50	360	14000	0.904
0.75	50	370	14250	0.9016
0.75	50	380	14500	0.9034
0.75	50	390	14750	0.9006
0.75	50	400	15000	0.8997
0.75	60	280	13000	0.9161
0.75	60	290	13250	0.9183
0.75	60	300	13500	0.9163
0.75	60	310	13750	0.9216
0.75	60	320	14000	0.923
0.75	60	330	14250	0.9253
0.75	60	340	14500	0.9265
0.75	60	350	14750	0.9322
0.75	60	360	15000	0.933
0.75	70	240	13000	0.9202
0.75	70	250	13250	0.9223
0.75	70	260	13500	0.9242
0.75	70	270	13750	0.9302
0.75	70	280	14000	0.9314
0.75	70	290	14250	0.9363
0.75	70	300	14500	0.9423
0.75	70	310	14750	0.9442
0.75	70	320	15000	0.9447
0.75	80	200	13000	0.8996
0.75	80	210	13250	0.9031
0.75	80	220	13500	0.9155
0.75	80	230	13750	0.928
0.75	80	240	14000	0.9328
0.75	80	250	14250	0.9356
0.75	80	260	14500	0.9401
0.75	80	270	14750	0.9461
0.75	80	280	15000	0.9432
0.75	90	160	13000	0.8585
0.75	90	170	13250	0.8761
0.75	90	180	13500	0.8892
0.75	90	190	13750	0.8984
0.75	90	200	14000	0.906
0.75	90	210	14250	0.9175
0.75	90	220	14500	0.9236
0.75	90	230	14750	0.9304
0.75	90	240	15000	0.9347
0.75	100	140	13500	0.8205
0.75	100	150	13750	0.8421
0.75	100	160	14000	0.8604
0.75	100	170	14250	0.8685
0.75	100	180	14500	0.8839
0.75	100	190	14750	0.901
0.75	100	200	15000	0.9109
0.75	110	140	14500	0.8218
0.75	110	150	14750	0.8379
0.75	110	160	15000	0.8628
0.8	10	600	13000	0.3982
0.8	10	610	13200	0.3879
