quant	tiros1	tiros2	tiros_total	tasa_elec_correcta
0.4	40	150	13000	0.7896
0.4	50	140	13400	0.7596
0.4	50	150	14000	0.7907
0.4	60	120	13200	0.6997
0.4	60	130	13800	0.7338
0.4	60	140	14400	0.767
0.4	60	150	15000	0.7839
0.4	70	100	13000	0.6213
0.4	70	110	13600	0.6597
0.4	70	120	14200	0.6963
0.4	70	130	14800	0.7346
0.4	80	90	13400	0.5823
0.4	80	100	14000	0.6307
0.4	80	110	14600	0.66
0.4	90	70	13200	0.4381
0.4	90	80	13800	0.5296
0.4	90	90	14400	0.5822
0.4	90	100	15000	0.6275
0.4	100	50	13000	0
0.4	100	60	13600	3e-04
0.4	100	70	14200	0.1094
0.4	100	80	14800	0.5078
0.4	110	40	13400	0
0.4	110	50	14000	0
0.4	110	60	14600	0
0.4	120	20	13200	2e-04
0.4	120	30	13800	0
0.4	120	40	14400	1e-04
0.4	120	50	15000	1e-04
0.4	130	10	13600	0
0.4	130	20	14200	0
0.4	130	30	14800	0
0.4	140	10	14600	0
0.5	60	140	13000	0.7703
0.5	60	150	13500	0.8011
0.5	70	120	13000	0.726
0.5	70	130	13500	0.745
0.5	70	140	14000	0.7729
0.5	70	150	14500	0.7973
0.5	80	100	13000	0.6327
0.5	80	110	13500	0.6824
0.5	80	120	14000	0.7171
0.5	80	130	14500	0.7471
0.5	80	140	15000	0.7745
0.5	90	80	13000	0.5419
0.5	90	90	13500	0.602
0.5	90	100	14000	0.6311
0.5	90	110	14500	0.6744
0.5	90	120	15000	0.7185
0.5	100	60	13000	2e-04
0.5	100	70	13500	0.0486
0.5	100	80	14000	0.473
0.5	100	90	14500	0.5951
0.5	100	100	15000	0.6287
0.5	110	40	13000	0
0.5	110	50	13500	0
0.5	110	60	14000	2e-04
0.5	110	70	14500	0.0015
0.5	110	80	15000	0.1185
0.5	120	20	13000	2e-04
0.5	120	30	13500	0
0.5	120	40	14000	0
0.5	120	50	14500	0
0.5	120	60	15000	0
0.5	130	10	13500	0
0.5	130	20	14000	1e-04
0.5	130	30	14500	0
0.5	130	40	15000	0
0.5	140	10	14500	0
0.5	140	20	15000	0
0.6	70	150	13000	0.8107
0.6	80	130	13200	0.7613
0.6	80	140	13600	0.7903
0.6	80	150	14000	0.813
0.6	90	100	13000	0.6597
0.6	90	110	13400	0.6989
0.6	90	120	13800	0.7306
0.6	90	130	14200	0.7638
0.6	90	140	14600	0.7867
0.6	90	150	15000	0.8104
0.6	100	80	13200	0.3837
0.6	100	90	13600	0.6118
0.6	100	100	14000	0.6717
0.6	100	110	14400	0.6956
0.6	100	120	14800	0.7229
0.6	110	50	13000	1e-04
0.6	110	60	13400	1e-04
0.6	110	70	13800	1e-04
0.6	110	80	14200	0.0573
0.6	110	90	14600	0.5099
0.6	110	100	15000	0.6549
0.6	120	30	13200	0
0.6	120	40	13600	2e-04
0.6	120	50	14000	0
0.6	120	60	14400	2e-04
0.6	120	70	14800	2e-04
0.6	130	10	13400	0
0.6	130	20	13800	0
0.6	130	30	14200	1e-04
0.6	130	40	14600	1e-04
0.6	130	50	15000	0
0.6	140	10	14400	0
0.6	140	20	14800	0
