fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220422 192650	0	0	0	1	hist	lossguide	256	0	1	0.175502922066636	0.704413791700227	7	422	0.0182392277123679	125	12861000	75
20220422 192742	0	0	0	1	hist	lossguide	256	0	1	0.192361039186376	0.518430542310757	7	129	0.0162558204470471	174	13196000	76
20220422 192826	0	0	0	1	hist	lossguide	256	0	1	0.279356382195686	0.797939813487604	6	258	0.0209157946603591	132	12894000	77
20220422 192923	0	0	0	1	hist	lossguide	256	0	1	0.218947360663758	0.875683994512898	9	975	0.0159424784528852	202	13228000	78
20220422 193009	0	0	0	1	hist	lossguide	256	0	1	0.238133361164916	0.623426656249107	8	660	0.0169205160505753	144	13163000	79
20220422 193105	0	0	0	1	hist	lossguide	256	0	1	0.0948279471016575	0.381003007189615	10	373	0.0125843957061568	167	12946000	80
20220422 193208	0	0	0	1	hist	lossguide	256	0	1	0.227876531121349	0.748707273563222	10	67	0.0221728576269513	234	12888000	81
20220422 193500	0	0	0	1	hist	lossguide	256	0	1	0.0478305582526972	0.946819537652032	9	705	0.017429048477555	723	13264000	82
20220422 193607	0	0	0	1	hist	lossguide	256	0	1	0.195392211413845	0.340860764705917	10	321	0.0212201167342719	243	12808000	83
20220422 193705	0	0	0	1	hist	lossguide	256	0	1	0.254552199344473	0.210807937945755	9	469	0.0175314329206916	198	13286000	84
20220422 193755	0	0	0	1	hist	lossguide	256	0	1	0.198488276967624	0.604953805318914	10	285	0.0161532064496769	152	13183000	85
20220422 193853	0	0	0	1	hist	lossguide	256	0	1	0.208721841513335	0.586333677884308	8	44	0.0216404454835368	202	13202000	86
20220422 194418	0	0	0	1	hist	lossguide	256	0	1	0.0299266642452707	0.54635255036326	10	534	0.0174567563109653	1547	13337000	87
20220422 194458	0	0	0	1	hist	lossguide	256	0	1	0.196239919574433	0.778797860875811	7	72	0.0185013097842161	114	12944000	88
20220422 194552	0	0	0	1	hist	lossguide	256	0	1	0.20728694475892	0.451272856350003	10	940	0.0165786737439613	198	13443000	89
20220422 194734	0	0	0	1	hist	lossguide	256	0	1	0.0623060196792375	0.727020654676851	8	886	0.0147037699031435	409	13324000	90
20220422 195143	0	0	0	1	hist	lossguide	256	0	1	0.0121736124011489	0.900583654378926	4	372	0.0144388215693303	937	12748000	91
20220422 195701	0	0	0	1	hist	lossguide	256	0	1	0.0468452600585718	0.591491412119407	10	373	0.0184630205992301	1579	13638000	92
20220422 195806	0	0	0	1	hist	lossguide	256	0	1	0.0996120176307257	0.990291478529093	10	1000	0.0166900018562463	187	13072000	93
20220422 200603	0	0	0	1	hist	lossguide	256	0	1	0.0107620389214987	0.537443258803469	9	764	0.0148373919707239	2331	13103000	94
20220422 200704	0	0	0	1	hist	lossguide	256	0	1	0.0877341903781457	0.777438707318914	10	645	0.0146141912021231	282	13289000	95
